UL,UF,UQA,UTS,URB,URN,URF,URC,USC,RL,RR,RPN,RS,SA,SS,SRN,SUN,label
0.177777778,0.677745909,0.967849224,0.334389857,0.409090909,0.481727575,0.002697173,0.377068962,1.00E-08,0.028814336,2.206088758,0.006896552,0.025426427,0.842273308,0.902855172,0.122342938,0.122059518,0
0.288888889,0.987346044,0.901960784,0.453248811,0.068181818,0.65448505,0.004461051,0.046256345,0.005076152,0.008546611,0.743935494,0,0.02939756,0.826152683,0.811537415,0.095331283,0.094981828,1
0.422222222,0.981947022,0.9968,0,0.189393939,0.222591362,0.000823015,0.377798504,1.00E-08,0.00766881,0.872347857,0,0.02637197,0.906923715,0.920935323,0.1269679,0.126354529,1
0.688888889,0.991057871,1,0.958795563,0.121212121,0.186046512,0.016826923,0.289285711,1.00E-08,0.005047193,1.123794865,0,0.052717292,0.839037698,0.882595238,0.184197652,0.183708415,1
0.333333333,0.997637928,1,0.386687797,0.075757576,0.225913621,0.001372739,0.148897057,1.00E-08,0.005889531,2.018123295,0,0.032107811,0.867170479,0.893735294,0.147260274,0.146253022,0
0.111111111,0.964737641,0.990878939,0,0.106060606,0.186046512,0.000453368,0.253124997,1.00E-08,0.005450821,0.774798311,0,0.041328485,0.840939153,0.8275,0.127935421,0.127935421,0
0.333333333,0.912265902,1,0.942947702,0.401515151,0.568106312,0.037109375,0.313815786,0.005847963,0.0062707,2.322189448,0,0.039903034,0.852777778,0.894988235,0.126269138,0.125866237,0
2.22E-10,0.171081491,1,0,0.136363636,0.169435216,0.000389861,0.357352938,1.00E-08,0.010334248,0.994936428,0.003921569,0.027995224,0.860021786,0.866352941,0.13188289,0.131077088,0
0.533333333,0.996456892,1,0.568938193,0.015151515,0.176079734,0.001522289,0.038207547,1.00E-08,0.012520156,0.888300891,0,0.025299185,0.837875611,0.816591195,0.103127423,0.102868958,1
0.333333333,0.953264721,0.939393939,0.901743265,0.113636364,0.481727575,0.01827117,0.104741378,0.013793113,0.005300392,1.426286897,0,0.057064013,0.8501036,0.888806527,0.122138136,0.121850752,1
0.133333334,0.832799055,0.997784343,0.196513471,0.015151515,0.215946844,0.001001603,0.031153846,0.015384625,0.012491664,0.999982574,0,0.024847327,0.859953704,0.822416667,0.080479452,0.080265411,0
0.444444445,0.990214274,1,0.567353407,0.174242424,0.302325581,0.002604167,0.255906591,0.010989021,0.005776687,0.803552768,0,0.024899026,0.908436214,0.959851852,0.067427702,0.067275495,1
0.4,0.103256285,0.998127341,0.961965135,0.098484848,0.182724252,0.017903646,0.239318179,1.00E-08,0.014767108,2.485240836,0.050909091,0.055708931,0.840151515,0.857212121,0.065006227,0.064757161,0
0.622222222,0.931331196,0,0,0.022727273,0.279069767,0.000467415,0.036160714,0.33333334,0.013581094,1.043836317,0,0.03727671,0.912367725,0.88322619,0.156800391,0.139432485,1
